FamilyMembers,HouseType,Occupation,IncomeLevel,WorkFromHome,Season,Temperature,Humidity,ACCount,ACHours,FanCount,LightCount,LEDPercentage,Cooler,Geyser,Refrigerator,WashingMachine,LaptopHours,TVHours,PreviousMonthUnits,MonthlyUnits,ElectricityBill,CarbonEmission,EstimatedBaseLoad
5,2BHK,Employed,Medium,Yes,Summer,33.8,54.8,0,0.0,5,11,54.6,0,1,1,1,7.6,4.6,322.1,247.9,1111.58,203.31,242.84
3,3BHK,Homemaker,Medium,No,Spring,26.7,54.0,1,1.9,5,15,30.2,0,1,1,1,0.0,4.7,289.8,312.2,1554.06,256.04,317.72
4,1BHK,Employed,Medium,No,Winter,17.1,44.9,0,0.0,5,9,29.3,0,1,1,1,1.5,3.3,148.6,173.9,682.4,142.57,163.06
4,3BHK,Homemaker,Very High,Yes,Summer,38.0,55.2,2,9.7,8,15,76.3,0,1,1,1,1.3,3.6,1031.8,1119.1,8412.67,917.69,1222.09
3,2BHK,Retired,High,No,Summer,35.9,58.0,0,0.0,4,10,40.9,1,1,1,1,0.8,5.5,242.5,267.9,1241.56,219.7,243.09
5,2BHK,Retired,Very High,No,Summer,39.8,66.7,2,10.6,5,10,60.5,0,1,1,1,0.8,6.0,1194.2,1367.1,10520.28,1121.02,1256.75
8,2BHK,Homemaker,High,Yes,Monsoon,28.8,84.3,2,3.9,7,15,84.0,0,1,1,1,0.8,5.2,655.3,726.5,5075.41,595.75,651.7
4,2BHK,Retired,High,No,Monsoon,30.1,86.8,2,4.3,4,12,50.8,1,1,1,1,1.6,3.9,1419.7,642.1,4357.83,526.52,645.77
3,1BHK,Student,Low,Partial,Monsoon,29.3,79.0,0,0.0,2,5,25.9,0,1,1,1,7.7,0.6,176.0,141.6,537.28,116.13,146.1
3,4BHK,Student,Medium,No,Summer,38.7,59.2,1,9.4,7,14,47.9,1,1,1,1,3.3,3.1,1089.4,780.5,5534.4,640.02,766.73
5,1BHK,Employed,Very High,No,Spring,28.4,51.4,1,2.2,5,8,61.8,0,0,1,1,3.8,4.6,155.9,321.1,1629.39,263.31,321.53
5,2BHK,Homemaker,Medium,Yes,Winter,10.2,48.0,0,0.0,8,15,28.8,0,1,1,1,2.1,6.0,194.5,237.1,1041.05,194.41,221.54
4,2BHK,Homemaker,Medium,Yes,Monsoon,30.6,82.0,1,4.1,5,11,31.9,0,1,1,1,3.2,4.6,473.5,401.1,2309.63,328.93,425.1
7,4BHK,Homemaker,Medium,No,Monsoon,29.5,82.6,1,3.9,9,19,40.1,0,0,1,1,0.0,4.5,487.4,533.1,3431.49,437.16,517.69
5,3BHK,Self-Employed,High,No,Summer,37.4,59.3,1,9.0,8,15,70.5,1,1,1,1,3.6,2.4,696.4,626.3,4223.21,513.53,768.44
7,4BHK,Student,Medium,Partial,Monsoon,31.5,83.7,1,4.4,9,17,47.7,0,1,1,1,5.1,2.7,600.1,569.5,3741.13,467.03,541.23
2,3BHK,Retired,High,No,Winter,16.5,52.8,0,0.0,6,13,42.1,1,1,1,1,2.6,3.2,158.7,165.7,645.72,135.89,173.01
4,2BHK,Student,Medium,Yes,Monsoon,29.1,81.8,1,3.8,4,11,37.7,1,1,1,1,5.7,2.8,1005.5,443.5,2669.64,363.66,417.81
8,3BHK,Student,Medium,Partial,Summer,36.9,67.0,1,9.1,8,17,47.9,0,1,1,1,4.7,4.6,660.4,787.6,5594.86,645.86,775.32
7,1BHK,Employed,Medium,No,Winter,15.8,52.9,0,0.0,4,8,53.3,1,1,1,1,4.3,4.5,201.9,156.7,605.26,128.51,179.79
5,4BHK,Employed,Medium,No,Summer,35.4,48.0,3,9.3,10,17,36.4,0,1,1,1,5.2,4.2,1727.7,1722.7,13542.7,1412.59,1695.15
3,1BHK,Homemaker,Medium,No,Winter,18.5,51.9,1,0.0,5,6,32.4,1,1,1,1,1.6,3.6,362.3,160.6,622.82,131.71,151.96
4,3BHK,Self-Employed,Low,No,Summer,38.0,61.0,1,9.2,9,14,14.4,0,0,1,1,2.3,2.9,1127.7,759.0,5351.62,622.39,764.26
8,3BHK,Self-Employed,Medium,No,Winter,16.6,43.1,2,0.0,8,16,41.1,1,1,1,1,4.5,6.1,224.9,235.5,1030.81,193.12,250.65
2,2BHK,Employed,Medium,Yes,Winter,11.5,44.2,1,0.0,6,9,32.6,0,1,1,1,7.6,1.5,137.5,172.4,675.71,141.35,162.98
6,3BHK,Employed,Medium,Yes,Summer,37.5,54.9,2,9.5,7,17,36.9,1,0,1,1,8.6,4.6,1262.7,1098.0,8232.61,900.32,1270.84
8,4BHK,Retired,Very High,Yes,Spring,25.0,48.5,2,1.9,10,18,73.3,1,0,1,1,0.0,3.6,680.5,530.1,3405.74,434.67,514.78
8,1BHK,Student,Medium,Yes,Monsoon,32.1,82.5,1,4.5,4,10,58.4,0,1,1,1,6.0,5.8,870.1,480.4,2983.51,393.94,451.9
5,1BHK,Employed,Medium,No,Summer,36.5,65.8,1,9.0,4,8,41.2,1,1,1,1,3.2,5.0,236.3,670.8,4602.19,550.09,683.61
5,1BHK,Homemaker,High,No,Monsoon,31.1,86.6,1,4.4,4,8,65.5,1,1,1,1,0.0,4.0,379.9,430.1,2555.56,352.65,434.45
3,4BHK,Student,High,Yes,Winter,15.7,50.0,3,0.0,10,16,39.5,0,0,1,1,4.1,3.7,180.6,220.9,936.01,181.16,214.71
8,3BHK,Employed,Medium,Partial,Summer,35.1,68.4,3,9.6,10,18,48.3,0,1,1,1,6.9,5.2,1950.6,1851.1,14633.93,1517.86,1763.51
2,1BHK,Retired,Medium,No,Summer,38.9,52.2,1,9.5,3,6,41.5,1,1,1,1,2.7,3.0,635.1,655.0,4467.51,537.1,664.86
3,2BHK,Homemaker,High,No,Winter,17.7,45.3,2,0.0,5,13,48.1,0,1,1,1,0.8,1.9,140.4,180.0,709.92,147.58,159.38
3,2BHK,Homemaker,Medium,Partial,Summer,36.7,62.0,0,0.0,6,9,46.2,0,1,1,1,2.2,3.5,162.1,242.5,1076.0,198.82,235.86
3,3BHK,Employed,Very High,No,Summer,36.6,52.4,2,9.2,5,13,74.7,0,1,1,1,4.6,3.1,732.0,980.9,7238.01,804.37,1108.82
3,3BHK,Retired,Medium,No,Spring,27.8,51.7,1,2.1,5,14,40.7,1,0,1,1,1.7,5.0,199.7,296.3,1425.71,242.94,328.82
3,1BHK,Homemaker,Medium,No,Summer,37.2,74.9,0,0.0,4,7,48.0,0,1,1,1,0.8,2.6,173.7,220.0,929.78,180.37,186.37
6,3BHK,Employed,Medium,No,Monsoon,26.0,83.3,2,3.2,8,14,39.7,1,1,1,1,0.9,4.5,734.8,614.1,4119.93,503.57,624.17
8,3BHK,Employed,Medium,Yes,Winter,13.7,49.8,2,0.0,8,17,39.8,0,1,1,1,7.6,3.9,261.3,232.6,1011.75,190.71,249.43
7,4BHK,Student,Low,Yes,Monsoon,31.4,83.2,0,0.0,8,18,20.6,0,0,1,1,5.7,4.3,382.2,338.1,1773.53,277.21,332.99
2,2BHK,Employed,High,Partial,Summer,41.1,62.2,2,10.8,5,8,49.9,1,0,1,1,5.8,1.6,1044.2,1289.6,9861.79,1057.49,1296.72
3,1BHK,Employed,Low,Yes,Monsoon,30.5,79.2,0,0.0,4,6,28.5,0,1,1,1,8.5,2.2,172.0,171.4,671.25,140.54,191.44
6,3BHK,Employed,Low,No,Summer,38.7,61.2,1,9.5,6,14,12.0,0,1,1,1,0.5,5.3,709.5,621.5,4182.58,509.61,741.37
6,2BHK,Homemaker,Medium,Yes,Monsoon,31.6,85.8,0,0.0,6,10,43.0,1,1,1,1,2.3,3.6,269.6,240.6,1063.73,197.27,277.92
8,3BHK,Homemaker,Medium,Yes,Monsoon,29.4,83.3,2,4.1,9,18,33.5,1,1,1,1,1.9,5.2,671.1,688.2,4749.41,564.3,765.36
5,1BHK,Retired,Medium,Yes,Summer,35.8,57.2,0,0.0,4,10,44.2,0,1,1,1,1.4,4.4,615.6,192.6,766.66,157.92,212.9
2,3BHK,Homemaker,Low,No,Summer,40.0,50.8,1,9.8,5,11,12.2,0,1,1,1,1.6,3.6,365.8,641.7,4354.78,526.23,698.35
5,2BHK,Employed,Medium,No,Monsoon,30.0,75.1,2,4.1,6,13,43.2,0,1,1,1,3.9,4.5,726.2,592.1,3932.44,485.48,648.75
4,3BHK,Retired,Very High,No,Winter,13.4,41.6,3,0.0,8,14,78.2,1,1,1,1,3.0,5.0,213.1,200.6,804.22,164.53,200.04
4,3BHK,Student,High,No,Summer,32.5,62.0,0,0.0,6,17,47.2,0,1,1,1,6.6,3.2,299.9,274.5,1284.38,225.11,265.98
4,1BHK,Employed,Very High,Partial,Summer,33.7,63.3,1,8.0,4,8,69.8,0,1,1,1,7.5,2.1,598.6,528.3,3390.26,433.18,582.55
6,2BHK,Student,Very High,Yes,Monsoon,32.1,78.1,2,4.7,6,14,74.8,0,1,1,1,6.2,3.6,554.7,757.6,5339.77,621.25,711.78
7,3BHK,Student,Medium,Yes,Summer,36.1,62.9,1,8.7,8,19,28.6,0,1,1,1,10.4,6.1,767.7,755.5,5321.88,619.52,779.89
5,2BHK,Employed,Low,Partial,Winter,17.0,35.0,1,0.0,6,11,9.9,0,0,1,1,7.1,4.2,581.4,200.1,800.89,164.11,198.48
5,2BHK,Homemaker,Low,Yes,Winter,16.3,49.4,1,0.0,7,12,21.0,0,1,1,1,1.6,5.3,510.7,173.9,682.52,142.59,202.35
4,3BHK,Employed,Very High,No,Spring,23.7,42.7,2,1.9,6,15,73.1,1,1,1,1,0.9,5.6,486.7,450.1,2725.43,369.04,428.44
5,2BHK,Employed,High,Yes,Monsoon,29.1,79.5,1,3.7,6,10,31.6,1,1,1,1,8.4,2.1,445.2,461.0,2818.75,378.04,452.23
3,1BHK,Employed,Medium,No,Spring,27.4,47.9,1,2.1,4,6,33.1,0,1,1,1,1.5,2.0,252.9,246.8,1104.36,202.4,274.29
6,1BHK,Employed,Very High,Partial,Winter,18.1,52.2,1,0.0,4,11,79.2,1,1,1,1,7.3,3.4,186.6,199.4,797.09,163.47,180.33
2,2BHK,Self-Employed,Low,Yes,Winter,13.8,50.0,0,0.0,5,9,22.2,0,1,1,1,6.6,3.0,375.2,178.6,703.82,146.47,161.67
6,4BHK,Homemaker,Medium,No,Monsoon,27.6,83.0,1,3.4,10,16,42.3,0,0,1,1,0.3,4.7,575.3,470.4,2898.64,385.75,489.01
4,1BHK,Retired,Medium,No,Summer,34.8,65.1,0,0.0,3,10,46.2,1,0,1,1,2.5,4.2,229.9,231.8,1006.95,190.11,224.47
2,3BHK,Employed,Medium,No,Spring,23.9,42.4,0,0.0,6,11,35.9,1,0,1,1,2.9,2.0,193.2,210.5,868.02,172.58,221.58
3,4BHK,Homemaker,Medium,No,Monsoon,30.8,81.1,0,0.0,8,16,43.0,0,1,1,1,0.7,5.6,257.5,300.4,1453.01,246.29,285.86
7,4BHK,Student,Low,No,Summer,37.9,72.1,0,0.0,8,20,18.4,0,0,1,1,4.1,5.7,346.8,347.3,1851.85,284.77,360.02
3,3BHK,Retired,Medium,Yes,Winter,15.9,57.3,0,0.0,5,14,60.7,1,1,1,1,3.1,3.0,158.3,180.6,712.61,148.07,171.6
1,3BHK,Employed,High,Partial,Monsoon,27.7,79.8,2,3.6,6,15,51.4,0,1,1,1,6.5,1.2,617.9,608.0,4068.2,498.58,570.16
2,2BHK,Employed,Low,No,Winter,13.3,59.5,0,0.0,4,7,19.1,0,1,1,1,5.2,2.7,116.8,150.1,575.54,123.1,145.12
5,1BHK,Homemaker,Medium,Partial,Summer,32.3,61.9,1,7.5,3,10,25.7,0,1,1,1,2.4,3.6,236.2,534.1,3440.03,437.98,553.77
2,2BHK,Self-Employed,Very High,No,Summer,41.3,53.4,1,10.2,3,7,65.7,0,1,1,1,3.6,4.0,597.2,579.8,3827.91,475.4,664.67
4,2BHK,Employed,Medium,No,Spring,27.7,51.2,1,2.1,5,9,36.2,0,1,1,1,2.8,3.7,427.3,312.0,1551.92,255.83,314.1
3,4BHK,Homemaker,Medium,Yes,Winter,17.2,53.7,1,0.0,8,17,30.3,1,1,1,1,0.1,5.9,433.5,184.0,727.8,150.84,213.18
3,2BHK,Student,Very High,Yes,Spring,31.0,47.5,2,2.8,4,11,79.3,0,1,1,1,9.6,4.1,302.2,449.7,2722.04,368.71,477.31
4,4BHK,Retired,Medium,Yes,Spring,25.7,54.2,2,1.9,8,16,36.8,0,1,1,1,0.0,4.4,461.1,521.2,3329.93,427.36,464.36
1,4BHK,Employed,Medium,Yes,Monsoon,29.3,71.8,0,0.0,8,14,44.9,1,0,1,0,9.6,1.7,271.8,258.7,1181.87,212.17,284.24
3,4BHK,Employed,High,Yes,Spring,26.9,45.1,2,2.1,7,15,63.7,1,0,1,1,8.0,0.8,441.3,473.5,2924.61,388.26,456.0
3,3BHK,Employed,High,Partial,Summer,34.6,63.2,2,8.7,5,13,50.3,0,1,1,1,6.7,3.0,1191.2,1072.4,8015.71,879.4,1067.27
5,2BHK,Self-Employed,Medium,No,Summer,34.6,62.5,0,0.0,6,12,35.8,0,0,1,1,1.7,5.1,246.4,293.1,1404.95,240.32,259.21
3,2BHK,Homemaker,Medium,No,Monsoon,29.6,76.2,0,0.0,5,11,24.8,0,0,1,1,0.2,3.1,262.3,196.2,782.88,160.88,210.52
4,3BHK,Student,High,No,Spring,25.2,53.2,1,1.8,7,14,56.3,0,0,1,1,2.9,4.2,358.6,366.6,2016.38,300.64,344.51
6,3BHK,Retired,Medium,Partial,Spring,23.0,53.2,0,0.0,6,14,42.6,1,0,1,1,0.5,7.2,217.9,293.8,1409.96,240.95,267.26
3,3BHK,Retired,Medium,Partial,Monsoon,28.7,83.3,1,3.7,7,12,49.7,0,1,1,1,3.6,3.4,406.5,385.2,2174.37,315.88,425.97
4,2BHK,Homemaker,High,No,Monsoon,31.1,88.1,1,4.4,4,12,66.5,0,1,1,1,0.8,6.2,831.7,463.0,2835.12,379.62,419.94
5,3BHK,Employed,Low,Partial,Summer,40.1,60.1,1,9.8,7,15,15.4,0,0,1,1,6.3,3.6,684.2,852.7,6148.35,699.25,779.65
4,2BHK,Self-Employed,High,No,Monsoon,29.4,75.4,1,3.7,6,12,44.2,1,1,1,1,3.4,2.9,435.1,458.7,2798.91,376.13,444.19
2,2BHK,Employed,Very High,No,Summer,35.1,61.5,1,8.3,3,8,66.1,1,0,1,1,2.8,4.3,558.5,631.7,4269.24,517.97,605.73
7,1BHK,Retired,High,No,Monsoon,29.6,77.2,1,3.8,5,9,63.3,1,1,1,1,2.0,3.0,732.7,481.2,2989.92,394.56,432.64
5,3BHK,Employed,Very High,Partial,Summer,32.0,52.3,3,8.1,6,15,77.2,1,1,1,1,5.0,3.9,1835.6,1711.8,13450.25,1403.67,1453.61
7,3BHK,Employed,Medium,Yes,Summer,42.0,64.8,1,10.7,7,16,45.8,1,1,1,1,8.6,4.4,779.3,775.6,5492.97,636.03,888.06
5,1BHK,Employed,Low,Yes,Summer,35.2,62.2,0,0.0,3,11,18.2,0,0,1,1,7.6,4.1,262.2,199.5,797.86,163.61,213.62
5,1BHK,Homemaker,Medium,Yes,Summer,36.0,55.1,1,8.6,4,8,45.2,0,1,1,1,0.7,4.2,314.0,623.2,4197.45,511.05,616.96
6,3BHK,Employed,Very High,Yes,Summer,35.7,53.7,2,8.9,8,14,71.8,1,1,1,1,7.1,2.3,1045.7,1158.4,8746.55,949.9,1193.43
6,1BHK,Student,High,No,Summer,38.7,65.8,1,9.7,6,10,56.5,1,1,1,1,2.6,2.5,629.7,726.4,5074.48,595.66,760.41
7,3BHK,Homemaker,Low,Yes,Monsoon,30.8,81.4,3,4.6,7,19,18.2,0,1,1,1,0.0,2.8,1332.3,896.4,6519.39,735.05,965.53
6,2BHK,Self-Employed,Low,No,Monsoon,28.3,79.2,0,0.0,7,13,16.0,0,1,1,1,6.2,4.4,229.6,256.8,1169.26,210.58,285.67
3,3BHK,Employed,Medium,Partial,Winter,21.0,64.8,1,0.0,6,12,20.3,0,1,1,1,4.2,3.6,463.4,193.7,771.85,158.87,182.07
5,2BHK,Homemaker,High,Partial,Spring,26.8,50.1,2,2.1,6,10,56.0,0,1,1,1,0.5,5.2,417.3,422.6,2492.21,346.54,437.13
8,2BHK,Self-Employed,Very High,No,Summer,37.1,68.4,1,9.3,7,12,60.5,1,1,1,1,2.9,5.7,1026.1,684.3,4716.13,561.09,784.04
2,1BHK,Student,Medium,Yes,Summer,37.6,59.5,0,0.0,3,5,8.4,1,0,1,1,7.1,0.5,174.9,185.0,732.4,151.68,205.01
6,2BHK,Student,Medium,Yes,Summer,37.6,60.0,1,9.1,6,11,39.0,1,1,1,1,7.0,3.7,789.3,668.3,4580.56,548.01,748.59
2,2BHK,Employed,Low,No,Spring,25.3,51.3,1,1.8,3,7,18.0,0,0,1,1,3.3,3.8,238.4,263.3,1211.77,215.95,253.41
7,1BHK,Employed,Medium,No,Winter,9.8,46.0,1,0.0,6,9,44.2,0,1,1,1,4.1,5.8,220.3,216.6,907.97,177.62,198.81
3,2BHK,Employed,High,Yes,Winter,15.1,47.5,1,0.0,7,10,55.0,0,1,1,1,12.2,2.0,176.5,205.6,836.5,168.61,185.72
4,2BHK,Employed,Low,Partial,Spring,30.9,50.5,0,0.0,4,10,17.7,0,1,1,1,1.8,4.0,302.1,215.8,902.56,176.94,206.49
3,2BHK,Homemaker,Low,No,Winter,17.8,48.8,0,0.0,5,10,12.5,0,1,1,1,0.2,3.3,180.9,174.8,686.72,143.36,160.85
1,1BHK,Employed,Medium,No,Spring,27.5,46.7,0,0.0,1,7,36.6,1,0,1,0,5.6,1.1,137.0,96.5,339.55,79.14,114.12
5,3BHK,Student,Medium,No,Spring,25.9,51.0,0,0.0,7,14,52.3,0,0,1,1,8.4,3.2,274.7,260.4,1192.54,213.52,272.31
7,2BHK,Retired,Low,Yes,Spring,28.4,51.6,0,0.0,5,13,17.5,0,0,1,1,1.8,5.7,285.2,286.8,1364.39,235.2,254.25
2,2BHK,Student,High,No,Monsoon,31.0,73.2,2,4.3,4,8,46.2,0,0,1,1,5.0,2.5,554.4,570.9,3753.0,468.17,597.74
6,1BHK,Self-Employed,Low,Yes,Winter,19.8,49.7,0,0.0,6,10,15.5,0,1,1,1,8.4,5.1,222.7,199.2,796.24,163.31,208.52
6,2BHK,Employed,Very High,No,Spring,25.9,47.7,2,1.9,7,10,81.6,1,1,1,1,2.0,2.5,328.0,427.2,2531.46,350.33,430.85
5,2BHK,Employed,Medium,No,Monsoon,27.6,77.8,2,3.5,6,10,47.5,0,1,1,1,4.0,4.2,915.9,484.7,3019.84,397.44,575.69
4,3BHK,Employed,Medium,Yes,Monsoon,31.3,81.4,1,4.3,7,13,46.6,1,1,1,1,7.7,4.1,740.4,530.8,3411.42,435.22,511.33
4,2BHK,Employed,Medium,No,Monsoon,28.6,77.1,1,3.6,5,11,33.5,1,1,1,1,2.2,2.9,411.1,461.5,2822.38,378.39,418.13
6,3BHK,Self-Employed,Medium,Partial,Monsoon,29.5,81.7,2,4.1,6,14,38.8,0,0,1,1,3.4,2.8,1341.5,700.6,4855.37,574.52,650.45
7,4BHK,Employed,Low,Partial,Monsoon,30.2,92.0,1,4.2,10,19,20.6,0,0,1,1,7.8,4.9,402.3,593.2,3942.42,486.45,576.06
2,3BHK,Employed,High,Yes,Winter,14.3,54.5,2,0.0,5,12,48.0,0,1,1,1,12.3,0.6,179.1,175.4,689.32,143.83,168.73
7,2BHK,Retired,Medium,Yes,Summer,36.8,55.9,1,8.8,8,15,28.4,1,0,1,1,0.5,2.5,324.7,760.7,5366.11,623.79,774.91
7,4BHK,Homemaker,Medium,Yes,Summer,35.6,73.6,3,10.0,10,18,29.5,0,0,1,1,1.6,7.0,2128.8,1928.7,15293.82,1581.52,1818.63
5,2BHK,Employed,Medium,Yes,Monsoon,32.2,87.3,1,4.7,5,10,27.0,0,0,1,1,10.0,4.6,508.0,435.4,2600.73,357.01,472.62
5,3BHK,Employed,Medium,Yes,Monsoon,32.5,70.0,1,4.4,6,13,34.7,0,0,1,1,11.3,3.2,459.3,444.8,2680.79,364.73,482.67
4,3BHK,Homemaker,Medium,Yes,Summer,41.5,62.4,1,10.4,7,17,33.8,0,1,1,1,2.6,1.5,824.8,853.4,6154.13,699.81,791.65
8,3BHK,Employed,Low,No,Spring,24.9,44.4,2,1.9,7,15,11.7,0,1,1,1,5.7,5.3,219.7,473.2,2922.11,388.02,493.71
4,2BHK,Student,Medium,No,Monsoon,30.5,77.5,0,0.0,6,11,50.8,1,0,1,1,7.3,0.5,233.6,242.8,1078.5,199.13,263.29
6,3BHK,Employed,High,No,Summer,42.0,53.3,1,10.4,6,14,54.0,1,1,1,1,3.4,4.8,745.6,911.2,6645.54,747.22,828.67
5,2BHK,Homemaker,Medium,Yes,Spring,23.3,54.2,2,1.9,5,11,38.9,0,1,1,1,1.0,5.5,421.4,440.1,2641.09,360.91,410.64
8,1BHK,Employed,Medium,No,Winter,20.3,53.0,1,0.0,4,12,44.3,1,0,1,1,3.7,6.0,181.6,236.6,1037.59,193.97,201.64
3,2BHK,Employed,High,Partial,Spring,26.5,49.2,2,2.0,7,10,77.2,0,1,1,1,7.8,1.3,407.6,405.7,2348.79,332.71,429.29
